search_type,keyword,location,description,url,category,created_time
Basic Search,data scientist,New York,Standard LinkedIn job search,https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=New%20York,linkedin_direct,2025-10-15 17:44:28
Recent Jobs,data scientist,New York,Jobs sorted by posting date,https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=New%20York&sortBy=DD,linkedin_direct,2025-10-15 17:44:28
Easy Apply,data scientist,New York,Jobs with one-click application,https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=New%20York&f_AL=true,linkedin_direct,2025-10-15 17:44:28
Remote Jobs,data scientist,New York,Remote work positions,https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=New%20York&f_WT=2,linkedin_direct,2025-10-15 17:44:28
Full-time Jobs,data scientist,New York,Full-time positions only,https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=New%20York&f_JT=F,linkedin_direct,2025-10-15 17:44:28
Entry Level,data scientist,New York,Entry-level positions,https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=New%20York&f_E=1,linkedin_direct,2025-10-15 17:44:28
Microsoft - Company Jobs Page,data scientist,New York,Microsoft company LinkedIn jobs page,https://www.linkedin.com/company/microsoft/jobs/,company_page,2025-10-15 17:44:28
Microsoft - Targeted Search,data scientist,New York,LinkedIn search for data scientist jobs at Microsoft,https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=New%20York&f_C=Microsoft,company_targeted,2025-10-15 17:44:28
